age,education,relationship,sex,race,income
56,HS-grad,Husband,Male,White,>50K
56,9th,Husband,Male,Black,<=50K
55,HS-grad,Unmarried,Female,Amer-Indian-Eskimo,<=50K
42,Doctorate,Not-in-family,Male,White,>50K
60,Some-college,Husband,Male,White,>50K
26,HS-grad,Unmarried,Female,Black,<=50K
46,Some-college,Unmarried,Female,White,<=50K
19,HS-grad,Not-in-family,Male,White,<=50K
74,HS-grad,Not-in-family,Female,White,>50K
44,Assoc-acdm,Not-in-family,Male,White,<=50K
51,HS-grad,Husband,Male,White,>50K
56,Some-college,Husband,Male,White,<=50K
59,Prof-school,Husband,Male,White,>50K
66,Some-college,Husband,Male,White,>50K
22,11th,Unmarried,Female,White,<=50K
19,Some-college,Not-in-family,Female,White,<=50K
63,Some-college,Not-in-family,Female,White,<=50K
29,HS-grad,Husband,Male,White,<=50K
57,Some-college,Husband,Male,White,>50K
19,HS-grad,Not-in-family,Female,White,<=50K
27,HS-grad,Own-child,Male,White,<=50K
39,HS-grad,Husband,Male,White,<=50K
42,Assoc-voc,Husband,Male,White,<=50K
53,Masters,Husband,Male,White,>50K
36,HS-grad,Not-in-family,Female,White,<=50K
27,Some-college,Husband,Male,Asian-Pac-Islander,>50K
49,Bachelors,Husband,Male,White,>50K
69,HS-grad,Husband,Male,White,>50K
52,HS-grad,Unmarried,Male,White,>50K
46,Masters,Husband,Male,White,<=50K
64,HS-grad,Husband,Male,White,>50K
35,12th,Not-in-family,Female,White,<=50K
60,5th-6th,Husband,Male,White,>50K
46,HS-grad,Husband,Male,White,>50K
33,Bachelors,Husband,Male,Black,<=50K
52,HS-grad,Not-in-family,Female,White,<=50K
35,Some-college,Not-in-family,Male,Black,<=50K
61,HS-grad,Not-in-family,Female,White,<=50K
40,HS-grad,Husband,Male,Black,>50K
62,HS-grad,Not-in-family,Female,White,<=50K
30,Assoc-acdm,Husband,Male,White,>50K
48,HS-grad,Wife,Female,White,<=50K
52,Some-college,Husband,Male,White,>50K
46,Some-college,Husband,Male,Black,>50K
44,Some-college,Husband,Male,White,>50K
32,Preschool,Wife,Female,Asian-Pac-Islander,<=50K
32,12th,Husband,Male,White,<=50K
30,Bachelors,Unmarried,Female,White,>50K
49,HS-grad,Husband,Male,White,<=50K
41,Some-college,Husband,Male,White,>50K
31,HS-grad,Own-child,Female,White,<=50K
37,Assoc-voc,Husband,Male,White,>50K
54,HS-grad,Husband,Male,White,<=50K
52,HS-grad,Husband,Male,White,<=50K
37,Assoc-voc,Wife,Female,White,>50K
23,Some-college,Other-relative,Female,White,<=50K
43,HS-grad,Husband,Male,White,>50K
29,Bachelors,Own-child,Female,White,<=50K
44,Some-college,Not-in-family,Male,White,<=50K
30,HS-grad,Other-relative,Male,White,<=50K
40,Assoc-voc,Unmarried,Female,White,>50K
44,10th,Husband,Male,White,>50K
58,HS-grad,Husband,Male,White,>50K
23,Some-college,Other-relative,Female,White,<=50K
38,Assoc-voc,Husband,Male,White,>50K
31,Some-college,Husband,Male,White,<=50K
52,Masters,Husband,Male,White,>50K
